id,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,street,neighbourhood,latitude,longitude,PropertyType,RoomType,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,has_availability
2539,1,0,6,1,"Brooklyn , NY, United States",Brooklyn,40.64749,-73.97237,Apartment,Private room,2,1,1,1,Real Bed,149,1,35,1,1
3647,1,0,1,1,"New York, NY, United States",Manhattan,40.80902,-73.9419,Apartment,Private room,2,1,1,1,Pull-out Sofa,150,2,20,3,1
7750,1,0,2,1,"New York, NY, United States",Manhattan,40.79685,-73.94872,Apartment,Entire home/apt,4,1,2,2,Real Bed,190,1,0,7,1
8505,1,1,2,0,"Brooklyn, NY, United States",Brooklyn,40.65599,-73.97519,Condominium,Private room,2,1,1,1,Real Bed,60,1,20,1,1
8700,,0,1,1,"New York, NY, United States",Manhattan,40.86754,-73.92639,Apartment,Private room,2,1,1,1,Real Bed,80,1,20,4,1
11943,0.67,0,1,0,"Brooklyn, NY, United States",Manhattan,40.63702,-73.96327,House,Private room,1,1,1,2,Real Bed,150,1,0,1,1
12299,0.3,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.66278,-73.97966,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,1,0,3,1
12627,1,0,1,1,"Brooklyn, NY, United States",Manhattan,40.65944,-73.96238,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,2,25,29,1
13050,0.6,0,1,1,"Brooklyn, NY, United States",Manhattan,40.68554,-73.9409,Townhouse,Entire home/apt,5,1,2,2,Real Bed,115,4,25,3,1
14322,1,0,1,1,"New York, NY, United States",Manhattan,40.73961,-73.98074,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,2,60,7,1
14991,1,0,1,1,"New York, NY, United States",Manhattan,40.72004,-73.99104,Apartment,Private room,1,1,1,1,Real Bed,110,1,20,5,1
16458,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.67343,-73.98338,Condominium,Entire home/apt,4,2,2,1,Real Bed,225,1,0,3,1
